Close_front_unrounded_vowel,i	 
Close_front_rounded_vowel,y 	 
Close_central_unrounded_vowel,ɨ	 
Close_central_rounded_vowel,ʉ	 
Close_back_unrounded_vowel,ɯ  	 
Close_back_rounded_vowel,u
Near-close_near-front_unrounded_vowel,ɪ  
Near-close_near-front_rounded_vowel,ʏ 
Near-close_near-back_rounded_vowel,ʊ
Close-mid_front_unrounded_vowel,e 
Close-mid_front_rounded_vowel,ø
Close-mid_central_unrounded_vowel,ɘ 
Close-mid_central_rounded_vowel,ɵ
Close-mid_back_unrounded_vowel,ɤ  
Close-mid_back_rounded_vowel,o 
Mid-central_vowel,ə 
Open-mid_front_unrounded_vowel,ɛ
Open-mid_front_rounded_vowel,œ  
Open-mid_central_unrounded_vowel,ɜ  
Open-mid_central_rounded_vowel,ɞ
Open-mid_back_unrounded_vowel,ʌ  
Open-mid_back_rounded_vowel,ɔ
Near-open_front_unrounded_vowel,æ  
Near-open_central_unrounded_vowel,ɐ 
Open_front_unrounded_vowel,a 					 
Open_front_rounded_vowel,ä  
Open_back_unrounded_vowel,ɑ  
Open_back_rounded_vowel,ɒ 
					
					
